timestamp,test-class,test-method,time,description,result
2021-05-30 23:07:53.634,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5820,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-05-30 23:07:58.146,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4049,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-05-30 23:08:02.664,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4019,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-05-30 23:08:07.102,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,4026,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-05-30 23:08:08.027,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,500,"listNegative()",OK
2021-05-30 23:08:29.202,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,7696,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-05-30 23:08:35.345,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5709,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-05-30 23:08:41.521,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5800,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-05-30 23:08:47.747,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5727,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-05-30 23:08:48.695,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,543,"updateNegative()",OK
2021-05-30 23:09:12.927,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,10853,"[1] recordIndex=0, title=Create ShoutValidators, executionStart=2022/08/13 19:39, executionEnd=2023/10/13 19:39, workload=120.0, description=Create validators of task entity, link=https://github.com/task25, isPublic=true",OK
2021-05-30 23:09:22.469,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8964,"[2] recordIndex=1, title=Create ShoutService, executionStart=2022/02/13 19:39, executionEnd=2022/05/14 19:39, workload=130.0, description=Create service of task entity, link=https://github.com/task24, isPublic=false",OK
2021-05-30 23:09:31.686,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8797,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2022/02/13 19:39, executionEnd=2022/04/14 19:39, workload=140.0, description=Create changes of task entity, link=https://github.com/task62, isPublic=false",OK
2021-05-30 23:09:38.084,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5943,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-05-30 23:09:44.523,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6022,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-05-30 23:09:51.11,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6159,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2023/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-05-30 23:09:58.01,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6155,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2023/04/13 19:39, executionEnd=2023/08/14 19:39, workload=14400.23, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:10:04.606,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6005,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=144.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:10:10.915,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5855,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2021/04/13 19:39, executionEnd=2021/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:10:40.327,acme.testing.manager.task.ManagerTaskDeleteTest,deletePositive,15757,"[1] title=Create TaskValidators, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=100.2, description=Create validators of task entity, link=https://github.com/task5, publica=false",OK
2021-05-30 23:10:44.272,acme.testing.manager.task.ManagerTaskDeleteTest,deleteNegative,3418,"deleteNegative()",OK
2021-05-30 23:11:02.78,acme.testing.manager.task.ManagerTaskShowTest,showPositive,4210,"[1] index=16, title=Create TaskValidators, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=100.2, description=Create validators of task entity, link=https://github.com/task5",OK
2021-05-30 23:11:06.268,acme.testing.manager.task.ManagerTaskShowTest,showNegative,3049,"showNegative()",OK
2021-05-30 23:11:32.605,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,12547,"[1] recordIndex=0, title=Create TaskValidators2, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=100.2, description=Create validators of task entity, link=https://github.com/task25",OK
2021-05-30 23:11:38.76,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5645,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-05-30 23:11:45.112,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5838,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-05-30 23:11:52.217,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6513,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2022/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-05-30 23:11:59.086,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6378,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2022/04/13 19:39, executionEnd=2022/04/14 19:39, workload=144.23, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:12:05.734,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6179,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2022/04/13 19:39, executionEnd=2022/04/14 19:39, workload=144.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:12:12.825,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6612,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2022/04/13 19:39, executionEnd=2022/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-05-30 23:12:31.638,acme.testing.anonymous.shout.AnonymousShoutListTest,list,3110,"[1] recordIndex=0, author=Victor Granero, moment=2021/05/25 10:00, text=Habeis visto la nueva página CodeUs?, info=https://codeUs.es",OK
2021-05-30 23:12:35.733,acme.testing.anonymous.shout.AnonymousShoutListTest,list,3379,"[2] recordIndex=1, author=Francisco, moment=2021/05/25 12:00, text=Este proyecto va sobre ruedas, enhorabuena!, info=null",OK
2021-05-30 23:12:41.729,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,4756,"listNegative()",OK
2021-05-30 23:13:04.942,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5888,"[1] recordIndex=0, author=David, text=Muchas gracias Paco, info=null",OK
2021-05-30 23:13:07.118,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1777,"[1] recordIndex=0, author=null, text=null, info=null",OK
2021-05-30 23:13:09.619,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1880,"[2] recordIndex=1, author=Pepe, text=ejemplo, info=null",OK
2021-05-30 23:13:11.939,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1829,"[3] recordIndex=2, author=NombreConMasDeVeinticincoCaracters, text=ejemplo, info=null",OK
2021-05-30 23:13:14.235,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1866,"[4] recordIndex=3, author=Francisco, text=12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=null",OK
2021-05-30 23:13:16.558,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1904,"[5] recordIndex=4, author=Francisco, text=ejemplo, info=urlerror",OK
2021-05-30 23:13:19.052,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegativeCases,1896,"[6] recordIndex=5, author=Nigeria, text=Nigeria, info=http://nigeria.com",OK
2021-05-30 23:13:37.037,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,3946,"[1] index=0, title=Diseñar nueva web, executionStart=2021/05/01 12:00, executionEnd=2021/06/22 20:00, workload=50.0, description=Montar nueva web para el colegio Poetas Andaluces de Montequinto, link=https://github.com/task1",OK
2021-05-30 23:13:41.08,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,3552,"[2] index=1, title=Entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2021/07/01 19:39, workload=30.0, description=Crear la entidad Plan, link=https://github.com/task1",OK
2021-05-30 23:13:45.041,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,3528,"[3] index=2, title=Vistas de la entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2021/07/01 19:39, workload=30.0, description=Crear la vistas referidas a la entidad Plan, link=https://github.com/task1",OK
2021-05-30 23:13:46.67,acme.testing.anonymous.task.AnonymousTaskListTest,listPositiveNoTaskPrivate,1239,"[1] index=0, title=Create TaskValidators, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=100.20, description=Create validators of task entity, link=https://github.com/task5",OK
2021-05-30 23:13:49.988,acme.testing.anonymous.task.AnonymousTaskListTest,listNegative,2921,"listNegative()",OK
2021-05-30 23:14:05.059,acme.testing.anonymous.task.AnonymousTaskShowTest,showPositive,1683,"[1] index=18, title=Create PlanController, executionStart=2021/02/13 19:39, executionEnd=2021/06/14 14:39, workload=20.5, description=Create controller of task entity, link=https://github.com/task1",OK
2021-05-30 23:14:06.077,acme.testing.anonymous.task.AnonymousTaskShowTest,showNegative,502,"showNegative()",OK
2021-05-30 23:14:27.999,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,8666,"[1] recordIndex=0, password=manag3r, confirmation=manag3r, name=John, surname=García, email=john@us.es",OK
2021-05-30 23:14:35.701,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,7262,"[2] recordIndex=1, password=manag3r, confirmation=manag3r, name=Manuel Ramón, surname=Benítez López, email=juan@engineer.com",OK
2021-05-30 23:14:40.775,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4615,"[1] recordIndex=0, password=null, confirmation=null, name=null, surname=null, email=null",OK
2021-05-30 23:14:45.866,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4601,"[2] recordIndex=1, password=manag3r, confirmation=manag4r, name=sex, surname=García, email=johnus.es",OK
2021-05-30 23:15:12.658,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreatePositive,11335,"managerAccountCreatePositive()",OK
2021-05-30 23:15:13.628,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreateNegative,504,"managerAccountCreateNegative()",OK
2021-05-30 23:15:35.663,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,7817,"[1] index=0, id=44, word=sex",OK
2021-05-30 23:15:41.38,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,5180,"[2] index=1, id=45, word=sexo",OK
2021-05-30 23:15:46.941,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showPositive,5050,"[3] index=10, id=54, word=millón de dolares",OK
2021-05-30 23:15:48.107,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,560,"[1] index=0, id=44, word=sex",OK
2021-05-30 23:15:49.25,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,492,"[2] index=1, id=45, word=sexo",OK
2021-05-30 23:15:50.24,acme.testing.administrator.spamPanel.AdministratorBlackListShowTest,showNegative,523,"[3] index=10, id=54, word=millón de dolares",OK
2021-05-30 23:16:15.865,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updatePositive,10680,"[1] recordIndex=0, threshold=10.0",OK
2021-05-30 23:16:22.722,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6315,"[1] recordIndex=0, threshold=null",OK
2021-05-30 23:16:29.694,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6449,"[2] recordIndex=1, threshold=-12",OK
2021-05-30 23:16:36.504,acme.testing.administrator.spamPanel.AdministratorThresholdUpdateTest,updateNegative,6199,"[3] recordIndex=2, threshold=120",OK
2021-05-30 23:17:08.883,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,15700,"[1] recordIndex=11, word=melocoton",OK
2021-05-30 23:17:24.398,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,15064,"[2] recordIndex=12, word=sandia",OK
2021-05-30 23:17:40.811,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createPositive,15749,"[3] recordIndex=13, word=caballo",OK
2021-05-30 23:17:47.372,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createDuplicatedNegative,6088,"[1] recordIndex=0, word=sex",OK
2021-05-30 23:17:53.254,acme.testing.administrator.spamPanel.AdministratorBlackListCreateTest,createBlankNegative,5423,"createBlankNegative()",OK
2021-05-30 23:18:16.544,acme.testing.administrator.spamPanel.AdministratorBlackListDeleteTest,deletePositive,7246,"[1] word=sex",OK
2021-05-30 23:18:17.603,acme.testing.administrator.spamPanel.AdministratorBlackListDeleteTest,deleteNegative,633,"deleteNegative()",OK
2021-05-30 23:18:39.514,acme.testing.administrator.spamPanel.AdministratorThresholdShowTest,showPositive,5345,"[1] index=0, threshold=10.0",OK
2021-05-30 23:18:40.65,acme.testing.administrator.spamPanel.AdministratorThresholdShowTest,showNegative,639,"showNegative()",OK
2021-05-30 23:19:03.867,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updatePositive,8375,"[1] recordIndex=0, word=se",OK
2021-05-30 23:19:09.641,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updateNegative,5270,"[1] recordIndex=0, word=null",OK
2021-05-30 23:19:15.209,acme.testing.administrator.spamPanel.AdministratorBlackListUpdateTest,updateNegative,5069,"[2] recordIndex=1, word=sexo",OK
2021-05-30 23:19:34.797,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,3987,"[1] index=0, word=sex",OK
2021-05-30 23:19:39.29,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,3889,"[2] index=1, word=sexo",OK
2021-05-30 23:19:44.439,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listPositive,4453,"[3] index=10, word=millón de dolares",OK
2021-05-30 23:19:45.468,acme.testing.administrator.spamPanel.AdministratorBlackListListTest,listNegative,602,"listNegative()",OK
2021-05-30 23:20:05.202,acme.testing.administrator.spamPanel.AdministratorThresholdListTest,listPositive,4580,"[1] index=0, threshold=10.0",OK
2021-05-30 23:20:08.657,acme.testing.administrator.spamPanel.AdministratorThresholdListTest,listNegative,2988,"listNegative()",OK
2021-05-30 23:20:28.778,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,4273,"[1] index=13, title=Create TaskService, executionStart=2021/02/13 19:39, executionEnd=2021/05/14 19:39, workload=50.5, description=Create service of task entity, link=https://github.com/task2",OK
2021-05-30 23:20:32.411,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,3207,"showNegative()",OK
2021-05-30 23:20:55.508,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,6114,"[1] index=0, title=Create TaskService, executionStart=2021/02/13 19:39, executionEnd=2021/05/14 19:39, workload=50.5, description=Create service of task entity, link=https://github.com/task2",OK
2021-05-30 23:21:02.376,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,6365,"[2] index=1, title=Create TaskRepository, executionStart=2020/03/13 19:39, executionEnd=2020/03/14 19:39, workload=22.5, description=Create repository of task entity, link=https://github.com/task4",OK
2021-05-30 23:21:08.76,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,5846,"[3] index=2, title=Create TaskView, executionStart=2020/02/13 19:39, executionEnd=2020/02/14 19:39, workload=21.3, description=Create view of task entity, link=https://github.com/task3",OK
2021-05-30 23:21:09.762,acme.testing.authenticated.task.AuthenticatedTaskListTest,listNegative,565,"listNegative()",OK
2021-05-30 23:21:33.634,acme.testing.anonymous.userAccount.SignUpTest,positiveSingUp,8549,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-05-30 23:21:41.896,acme.testing.anonymous.userAccount.SignUpTest,positiveSingUp,7642,"[2] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
2021-05-30 23:21:45.415,acme.testing.anonymous.userAccount.SignUpTest,negativeSingUp,3016,"[1] recordIndex=0, username=Lisa, password=1234, confirmation=1234, name=null, surname=null, email=morganmail.com, accept=true",OK
2021-05-30 23:21:48.932,acme.testing.anonymous.userAccount.SignUpTest,negativeSingUp,2999,"[2] recordIndex=1, username=Gabriel, password=constrasena, confirmation=password, name=Gabri, surname=Gabri, email=gabri@mail.com, accept=true",OK
2021-05-30 23:21:52.4,acme.testing.anonymous.userAccount.SignUpTest,negativeSingUp,2913,"[3] recordIndex=2, username=null, password=null, confirmation=null, name=null, surname=null, email=null, accept=true",OK
2021-05-30 23:21:55.588,acme.testing.anonymous.userAccount.SignUpTest,negativeSingUp,2680,"[4] recordIndex=3, username=Gabriel, password=constrasena, confirmation=constrasena, name=Gabri, surname=Gabri, email=gabri@mail.com, accept=false",OK
2021-05-30 23:22:22.508,acme.testing.administrator.taskstatics.AdministratorTaskstaticsListTest,listPositive,10358,"[1] publictasks=16 tasks, privatetasks=2 tasks, finishedtasks=11 tasks, nonfinishedtasks=7 tasks, averageworkload=28.58 hours.minutes, minimumworkload=4.0 hours.minutes, maximumworkload=100.2 hours.minutes, workloaddeviation=20.21 hours.minutes, averageexecutionperiod=1538.36 hours.minutes, minimumexecutionperiod=24.0 hours.minutes, maximumexecutionperiod=10224.0 hours.minutes, executionperioddeviation=2312.54 hours.minutes",OK
2021-05-30 23:22:23.612,acme.testing.administrator.taskstatics.AdministratorTaskstaticsListTest,listNegative,603,"[1] ",OK
