timestamp,test-class,test-method,time,description,result
2021-08-09 12:43:53.76,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3799,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-08-09 12:43:57.793,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3759,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-08-09 12:44:01.743,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3697,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-08-09 12:44:05.665,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3659,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-08-09 12:44:06.326,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,436,"listNegative()",OK
2021-08-09 12:44:20.304,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5219,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-08-09 12:44:25.827,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5276,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-08-09 12:44:31.325,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5264,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 12:44:36.808,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5245,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 12:44:37.327,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,289,"updateNegative()",OK
2021-08-09 12:44:53.665,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8228,"[1] index=0, title=Create ShoutValidators, executionStart=2022/08/13 19:39, executionEnd=2023/10/13 19:39, workload=120.0, description=Create validators of task entity, link=https://github.com/task25, isPublic=true",OK
2021-08-09 12:45:01.477,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7589,"[2] index=0, title=Create ShoutService, executionStart=2022/02/13 19:39, executionEnd=2022/05/14 19:39, workload=130.0, description=Create service of task entity, link=https://github.com/task24, isPublic=false",OK
2021-08-09 12:45:09.27,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7545,"[3] index=0, title=Create ShoutQueries, executionStart=2022/02/13 19:39, executionEnd=2022/04/14 19:39, workload=140.0, description=Create changes of task entity, link=https://github.com/task62, isPublic=false",OK
2021-08-09 12:45:16.969,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7439,"[4] index=0, title=a, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=150.0, description=a, link=https://github.com/task25, isPublic=false",OK
2021-08-09 12:45:24.733,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7543,"[5] index=16, title=Estetitulotiene80palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebaa, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=0.0, description=Estetitulotiene500palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebaprueba, link=https://github.com/task62, isPublic=false",OK
2021-08-09 12:45:30.391,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5453,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-08-09 12:45:36.216,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5586,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-08-09 12:45:41.841,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5398,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2023/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-08-09 12:45:47.49,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5428,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2023/04/13 19:39, executionEnd=2023/08/14 19:39, workload=14400.23, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-08-09 12:45:53.206,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5431,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=144.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-08-09 12:45:59.185,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5647,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2021/04/13 19:39, executionEnd=2021/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
