timestamp,test-class,test-method,time,description,result
2021-08-09 13:14:56.042,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3771,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-08-09 13:15:00.03,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3763,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-08-09 13:15:03.973,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3719,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-08-09 13:15:07.885,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3674,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-08-09 13:15:08.381,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,291,"listNegative()",OK
2021-08-09 13:15:21.406,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5099,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-08-09 13:15:26.814,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5174,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-08-09 13:15:32.214,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5151,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 13:15:37.578,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5143,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 13:15:38.0,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,216,"updateNegative()",OK
2021-08-09 13:15:53.534,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7722,"[1] index=0, title=Create ShoutValidators, executionStart=2022/08/13 19:39, executionEnd=2023/10/13 19:39, workload=120.0, description=Create validators of task entity, link=https://github.com/task25, isPublic=true",OK
2021-08-09 13:16:01.131,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7393,"[2] index=0, title=Create ShoutService, executionStart=2022/02/13 19:39, executionEnd=2022/05/14 19:39, workload=130.0, description=Create service of task entity, link=https://github.com/task24, isPublic=false",OK
2021-08-09 13:16:08.734,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7401,"[3] index=0, title=Create ShoutQueries, executionStart=2022/02/13 19:39, executionEnd=2022/04/14 19:39, workload=140.0, description=Create changes of task entity, link=https://github.com/task62, isPublic=false",OK
2021-08-09 13:16:16.261,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7325,"[4] index=0, title=a, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=150.0, description=a, link=https://github.com/task25, isPublic=false",OK
2021-08-09 13:16:23.971,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7504,"[5] index=16, title=Estetitulotiene80palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebaa, executionStart=2022/01/13 19:39, executionEnd=2022/03/14 19:39, workload=0.0, description=Estetitulotiene500palabraspruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebapruebaprueba, link=https://github.com/task62, isPublic=false",OK
2021-08-09 13:16:29.533,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5359,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-08-09 13:16:35.181,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5444,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-08-09 13:16:40.723,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5346,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2023/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-08-09 13:16:46.368,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5392,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2023/04/13 19:39, executionEnd=2023/08/14 19:39, workload=14400.23, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-08-09 13:16:52.0,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5413,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=144.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-08-09 13:16:57.642,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5419,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2021/04/13 19:39, executionEnd=2021/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
